time;RSSI;RSRP;SINR;RSRQ;TX POWER;PCC RXD RSRP;PCC RXD RSSI;PCC RXM RSRP;PCC RXM RSSI;SCC RXD RSRP;SCC RXD RSSI;SCC RXM RSRP;SCC RXM RSSI;BAND;BW;RX CHAN;TX CHAN;SCELL BAND;SCELL BW;SCELL CHAN;CELLID;TAC;IP;network;interface
1575982935.400;-81.0;-107.0;5.6;-11.0;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.495;-78.0;-107.0;1.8;-11.0;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.673;-81.0;-107.0;5.2;-11.0;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.738;-81.0;-107.0;4.6;-10.7;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.803;-80.0;-107.0;5.2;-10.5;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.899;-78.0;-107.0;6.2;-10.8;5.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982935.962;-79.0;-108.0;5.4;-10.7;23.0;-140.0;-98.0;-108.0;-79.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.158;-81.0;-107.0;5.0;-9.8;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.251;-81.0;-107.0;4.2;-9.5;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.466;-81.0;-107.0;4.6;-9.3;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.530;-81.0;-107.0;5.2;-9.3;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.775;-81.0;-107.0;6.4;-9.1;5.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.900;-81.0;-107.0;6.0;-9.1;5.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982936.964;-81.0;-107.0;2.6;-9.0;23.0;-140.0;-97.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.139;-79.0;-107.0;6.0;-9.2;23.0;-140.0;-98.0;-107.0;-79.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.202;-82.0;-107.0;6.2;-9.7;23.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.295;-80.0;-107.0;5.4;-9.7;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.470;-80.0;-107.0;4.4;-9.4;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.533;-81.0;-107.0;5.8;-9.4;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.657;-78.0;-107.0;5.6;-9.4;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.719;-80.0;-107.0;5.0;-9.7;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.813;-81.0;-107.0;5.8;-9.7;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982937.998;-81.0;-107.0;7.0;-9.3;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982938.061;-82.0;-107.0;4.8;-10.0;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982938.366;-80.0;-107.0;5.8;-9.4;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982938.611;-77.0;-107.0;4.6;-10.1;23.0;-140.0;-98.0;-107.0;-77.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982938.735;-77.0;-107.0;5.8;-10.6;23.0;-140.0;-98.0;-107.0;-77.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982938.913;-81.0;-107.0;5.2;-10.8;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
